SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	tbn
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	11	01	00	00	0	0.00	|	orig=32 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	02	00	00	0	-0.56	|	orig=31 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	03	00	00	0	-0.56	|	orig=31 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	04	00	00	0	-1.11	|	orig=30 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	05	00	00	0	0.00	|	orig=32 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	06	00	00	0	-1.67	|	orig=29 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	07	00	00	0	2.22	|	orig=36 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	08	00	00	0	7.78	|	orig=46 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	09	00	00	0	7.22	|	orig=45 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	10	00	00	0	-1.11	|	orig=30 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	11	00	00	0	6.11	|	orig=43 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	12	00	00	0	11.67	|	orig=53 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	13	00	00	0	3.89	|	orig=39 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	14	00	00	0	4.44	|	orig=40 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	15	00	00	0	0.56	|	orig=33 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	16	00	00	0	-0.56	|	orig=31 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	17	00	00	0	-1.11	|	orig=30 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
