SEF	1.0.0
ID	FortSimpsonCanada
Name	FortSimpson
Lat	61.85
Lon	238.58
Alt	90
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1859	09	01	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	03	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	04	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	05	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	06	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	07	00	00	0	-999	|	orig=light | ditto in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	08	00	00	0	-999	|	orig=heavy in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	09	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	10	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	11	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	12	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	13	00	00	0	-999	|	orig=heavy in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	14	00	00	0	-999	|	orig=light in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	15	00	00	0	-999	|	orig=light in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	16	00	00	0	-999	|	orig=light in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	17	00	00	0	-999	|	orig=heavy from 11 am in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	18	00	00	0	-999	|	orig=heavy in|Local time: 0000|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
