SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	ptb
Stat	point
Unit	hour
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	02	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	09	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	10	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	11	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	12	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	13	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	14	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	15	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	16	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	17	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	18	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	19	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	20	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	21	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	22	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	23	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	24	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	25	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	26	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	27	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	28	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	29	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	30	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	31	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	06	01	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	02	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	03	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	04	00	00	24	"at intervals"	|	orig="At intervals" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	05	00	00	24	"at intervals"	|	orig="At intervals" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	06	00	00	24	"at intervals"	|	orig="At intervals" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	07	00	00	24	"for 12 hours"	|	orig="For 12 hours" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	08	00	00	24	"for 24 hours"	|	orig="For 24 Hours" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	09	00	00	24	"during the night season"	|	orig="During the Night Season" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	10	00	00	24	"at intervals"	|	orig="At intervals" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	11	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	12	00	00	24	"during the night season"	|	orig="During the night season" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	13	00	00	24	since midnight	|	orig=Since midnight hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	14	00	00	24	"at intervals during th3 24 hours"	|	orig="At intervals during th3 24 hours" hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	15	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	16	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	17	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	18	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	19	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	20	00	00	24	0	|	orig=0 hr|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
