SEF	1.0.0
ID	WinowhupaCanada
Name	Winowhupa
Lat	45.13
Lon	297.25
Alt	112
Source	ODR
Link	https://opendatarescue.org
Vbl	nl
Stat	point
Unit	okta
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	11	01	01	00	0	0.00	|	orig=Empty okta|Local time: 2100|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	11	18	18	00	0	0.00	|	orig=Empty okta|Local time: 1400|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	12	26	11	00	0	0.00	|	orig=Empty okta|Local time: 0700|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1866	01	02	11	00	0	0.00	|	orig=Empty okta|Local time: 0700|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	03	11	00	0	0.00	|	orig=Empty okta|Local time: 0700|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	04	11	00	0	0.00	|	orig=Empty okta|Local time: 0700|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	06	18	00	0	0.00	|	orig=Empty okta|Local time: 1400|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	19	01	00	0	0.00	|	orig=Empty okta|Local time: 2100|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	27	18	00	0	0.00	|	orig=Empty okta|Local time: 1400|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	03	01	11	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	01	18	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	02	01	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	02	11	00	0	0.00	|	orig=Empty okta|Local time: 0700|QC flag: no entry: clear|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
