SEF	1.0.0
ID	StanbridgeCanada
Name	Stanbridge
Lat	45.13
Lon	287.1
Alt	67.7
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	03	02	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	19	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	28	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	29	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	30	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1857	01	01	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	02	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	03	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	04	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	05	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	06	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	07	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	08	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	09	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	10	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	11	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	12	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	13	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	14	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	15	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	16	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	17	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	18	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	19	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	20	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	21	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	22	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	23	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	24	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	25	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	26	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	27	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	28	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	29	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	30	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	31	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	02	01	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	02	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	03	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	04	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	05	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	06	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_OBS-F.jpg
