"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"HarbourGrace","47.53","-52.57","6","America/Goose_Bay","3.5","71250",NA
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cd","cv","dd","hd","p","pr","ptb","pte","sd","ta","ta_mean","w","ww"
1871-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA
1871-11-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-11-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1871-11-02,NA,NA,NA,NA,NA,NA,NA,"6am","11 am",NA,NA,7.22,NA,"rain"
1871-11-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1871-11-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1871-11-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1871-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA
1871-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1871-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1871-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA
1871-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1871-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1871-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA
1871-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA
1871-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA
1871-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,",sn,"
1871-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA
1871-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1871-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA
1871-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1871-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1871-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1871-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA
1871-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
1871-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-11-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1871-11-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
1871-11-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
1871-11-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1871-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA
1871-11-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
1871-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA
1871-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA
1871-11-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-11-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1871-11-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA
1871-11-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA
1871-11-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA
1871-11-19 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-11-19 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA
1871-11-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA
1871-11-20 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-11-20 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1871-11-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1871-11-21 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-11-21 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1871-11-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1871-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA
1871-11-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1871-11-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1871-11-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1871-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA
1871-11-23 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1871-11-23 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA
1871-11-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1871-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA
1871-11-24 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA
1871-11-24 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-11-24 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,",sn,"
1871-11-25 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-11-25 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-11-25 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-26,NA,NA,NA,NA,NA,NA,NA,"10:30pm","11pm",NA,NA,4.44,NA,"rain"
1871-11-26 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-26 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-11-26 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1871-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA
1871-11-27 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-11-27 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-11-27 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1871-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,"s"
1871-11-28 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,NA,NA,NA
1871-11-28 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1871-11-28 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA
1871-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,"s"
1871-11-29 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-11-29 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-11-29 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,",sn,"
1871-11-30 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-11-30 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-11-30 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA
1871-12-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1871-12-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,",sq,"
1871-12-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA
1871-12-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA
1871-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1871-12-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA
1871-12-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA
1871-12-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,",ra,"
1871-12-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,",ra,"
1871-12-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1871-12-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA
1871-12-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1871-12-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA
1871-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,",ra,"
1871-12-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1871-12-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1871-12-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-12-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,",sn,"
1871-12-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA,NA
1871-12-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA,NA
1871-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA
1871-12-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA,NA
1871-12-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA
1871-12-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-12-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA,NA
1871-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1871-12-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1871-12-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA
1871-12-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1871-12-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1871-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1871-12-19 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1871-12-19 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1871-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA
1871-12-20 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
1871-12-20 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1871-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA
1871-12-21 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1871-12-21 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1871-12-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA
1871-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA
1871-12-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA
1871-12-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA
