"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Michipocoton","47.8","-85.08","201","America/Thunder_Bay","5","71738","6059D09 "
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cv","dd","hd","p","pr","ptb","pte","sd","ta","ta_mean","w","ww"
1860-11-01,NA,NA,NA,NA,NA,NA,"empty","empty",NA,NA,NA,NA,NA
1860-11-01,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1860-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA
1860-11-01 07:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 07:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 07:00:00,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1860-11-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
1860-11-01 14:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 14:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 14:00:00,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1860-11-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
